CompetitionName,TeamName,UserNames,Score,ScoreFirstSubmittedDate,NumSubmissions
ClaimPredictionChallenge,Matt C,Matthew Carle,0.201556870289149,2011-10-11 13:22:00.163333,35
ClaimPredictionChallenge,Owen,Owen,0.19545554381396,2011-10-10 15:14:35.300000,22
ClaimPredictionChallenge,PlanetThanet,Jason Tigg,0.169787902482077,2011-10-04 18:20:29.653333,56
ClaimPredictionChallenge,Old Dogs With New Tricks,"David J. Slate,Peter W Frey",0.16614446571937,2011-10-10 04:46:11.963333,138
ClaimPredictionChallenge,dmvse/hgmi,"dmvse,Hug Mi",0.164147196627507,2011-10-09 12:38:25.313333,46
ClaimPredictionChallenge,Winter is Coming,"Jeremy Achin,Tom DeGodoy",0.163235400562933,2011-10-12 11:25:06.110000,2
ClaimPredictionChallenge,Optimus,Optimus,0.153662205522265,2011-10-12 08:38:36.556666,25
ClaimPredictionChallenge,Kausing Much Damage,Mark,0.152928417906183,2011-10-12 11:55:02.596666,3
ClaimPredictionChallenge,Glendog,Glendog,0.152366564188209,2011-10-03 00:02:58.806666,17
ClaimPredictionChallenge,Stefan,Stefan Henß,0.138519494885535,2011-10-09 15:29:17.940000,8
ClaimPredictionChallenge,dowdyg1,dowdyg1,0.136499302256299,2011-09-26 12:16:44.026666,24
ClaimPredictionChallenge,Gxav,Xavier Conort,0.131655642261369,2011-10-06 10:25:30.596666,3
ClaimPredictionChallenge,ivo (VME73N),ivo,0.130509095367842,2011-09-08 11:59:33.726666,92
ClaimPredictionChallenge,Pinnacle,Lee Knepler,0.130099326198664,2011-09-01 14:10:56.036666,33
ClaimPredictionChallenge,CoolBroSeeFit,CoolBroSeeFit,0.11873931782936,2011-08-28 21:25:20.323333,18
ClaimPredictionChallenge,Blue Giraffe,Walking Lint,0.094080737137132,2011-10-08 20:47:30.480000,14
ClaimPredictionChallenge,TrebleZed,Sigma Moo,0.09408073712381,2011-10-09 10:35:07.756666,53
ClaimPredictionChallenge,erdman,Travis Erdman,0.088294029640255,2011-09-02 05:13:59.653333,20
ClaimPredictionChallenge,Kanuma,Manuel Kambeitz,0.088052945822157,2011-09-21 11:51:49.066666,15
ClaimPredictionChallenge,Sollers,Marcin Pionnier,0.084963704716158,2011-07-30 04:42:44.980000,29
ClaimPredictionChallenge,Alex,Alex,0.08369427352262,2011-10-11 21:36:39.396666,6
ClaimPredictionChallenge,CL,CL,0.08299896029371,2011-09-01 17:41:38.093333,2
ClaimPredictionChallenge,LoneWolf,TasDevil,0.081730165079284,2011-10-05 04:22:41.536666,3
ClaimPredictionChallenge,DKW,Donald Wedding,0.080582152171802,2011-08-31 18:39:59.476666,16
ClaimPredictionChallenge,Yujiao,Yujiao,0.080391972089709,2011-08-05 19:07:24.383333,8
ClaimPredictionChallenge,indipop,deepak,0.079780446933122,2011-10-12 05:19:42.033333,6
ClaimPredictionChallenge,rknz,rknz,0.079430285871279,2011-08-01 03:07:05.736666,4
ClaimPredictionChallenge,Mikael Sukiasyan,Mikayel Sukiasyan,0.07938750365853,2011-08-12 09:44:07.153333,10
ClaimPredictionChallenge,Forbin,Forbin,0.079289258656796,2011-10-12 23:54:12.970000,3
ClaimPredictionChallenge,Eigen,Matthew Roos,0.079110702985068,2011-10-10 18:47:16.070000,2
ClaimPredictionChallenge,Ed Ramsden,Ed Ramsden,0.078028833277066,2011-08-03 05:42:57.963333,9
ClaimPredictionChallenge,tropical,Zach Pardos,0.076257654513739,2011-08-13 13:02:56.590000,4
ClaimPredictionChallenge,claim_predictor,claim_predictor,0.076050380645424,2011-10-11 19:34:54.506666,15
ClaimPredictionChallenge,woshialex,woshialex,0.075285395097074,2011-08-04 05:05:15.766666,11
ClaimPredictionChallenge,Mark Colson,Mark Colson,0.073432957613202,2011-10-12 00:43:11.723333,6
ClaimPredictionChallenge,Eu Jin Lok,Eu Jin Lok,0.071949625337043,2011-10-09 08:50:02.666666,5
ClaimPredictionChallenge,Hot Mama,Hot Mama,0.069618510913251,2011-10-12 02:06:07.283333,1
ClaimPredictionChallenge,LL Cool A,Angus Christophersen,0.067419097067383,2011-09-21 22:04:39.106666,12
ClaimPredictionChallenge,Black Jack,Black Jack,0.067055153053938,2011-09-29 12:21:51.136666,23
ClaimPredictionChallenge,Rapid Insight,Rapid Insight,0.06572806315471,2011-07-22 19:26:42.833333,6
ClaimPredictionChallenge,garryduff,garryduff,0.064897725418519,2011-09-04 21:55:14.716666,8
ClaimPredictionChallenge,Andrea,Andrea,0.064527746114057,2011-08-12 10:14:03.633333,40
ClaimPredictionChallenge,A2,A2,0.064526224521979,2011-10-09 02:35:25.966666,3
ClaimPredictionChallenge,Seyhan,Seyhan,0.064520851123474,2011-09-18 08:24:46.273333,77
ClaimPredictionChallenge,Vlad Quant,Vlad Gusev,0.064459928578507,2011-10-01 15:30:17.450000,1
ClaimPredictionChallenge,Monkey,Monkey,0.06174764471553,2011-07-23 10:07:46.926666,3
ClaimPredictionChallenge,Rahne Dim Fohrste,Chris Raimondi,0.061442315928678,2011-07-15 00:06:39.636666,11
ClaimPredictionChallenge,Juniper,Juniper,0.061304665202017,2011-10-10 18:49:51.960000,1
ClaimPredictionChallenge,Miner's Brain,Miner's Brain,0.061246665901782,2011-08-09 11:08:31.806666,51
ClaimPredictionChallenge,NSchneider,Neil Schneider,0.061220108009231,2011-07-23 15:28:01.356666,3
ClaimPredictionChallenge,Dirk Nachbar,Dirk Nachbar,0.05987203710844,2011-07-27 19:48:26.146666,16
ClaimPredictionChallenge,Flash Bear & Associates,Teddy,0.058879098015153,2011-10-11 16:36:44.636666,8
ClaimPredictionChallenge,jhbrown,jhbrown,0.058767238979418,2011-10-12 23:58:24.103333,1
ClaimPredictionChallenge,gordbot,gordbot,0.058533053909865,2011-10-12 12:51:28.703333,2
